country_name,country_code,indicator_name,indicator_code,year16
Afghanistan,AFG,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,992239000
Albania,ALB,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,1947391000
Algeria,DZA,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,1985910000
Angola,AGO,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,20499334000
Argentina,ARG,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,74050913000
Armenia,ARM,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,2822862000
Azerbaijan,AZE,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,4398981000
Bangladesh,BGD,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,20848691000
Belarus,BLR,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,10621999000
Belize,BLZ,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,526502000
Belize,BLZ,"PPG, private creditors (DOD, current US$)",DT.DOD.PRVT.CD,526502000
Benin,BEN,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,1656919000
Bhutan,BTN,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,1719197000
Bolivia,BOL,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,5279609000
"Bosnia and Herzegovina",BIH,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,3229863000
Botswana,BWA,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,1569826000
Brazil,BRA,"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,106000000000
Bulgaria,BGR,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,8609323000
"Burkina Faso",BFA,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,2201906000
Burundi,BDI,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,340558000
"Cabo Verde",CPV,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,720903000
Cambodia,KHM,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,3911721000
Cameroon,CMR,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,3264509000
"Central African Republic",CAF,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,282168000
Chad,TCD,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,696009000
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1430000000000
China,CHN,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,801000000000
Colombia,COL,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,37543200000
Comoros,COM,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,77951000
"Congo, Dem. Rep.",COD,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,2124169000
"Congo, Rep.",COG,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,2214625000
"Costa Rica",CRI,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,6375945000
"Cote d'Ivoire",CIV,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,3058241000
Djibouti,DJI,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,1113326000
Dominica,DMA,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,127147000
"Dominican Republic",DOM,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,9812080000
"East Asia & Pacific ",EAP,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,1010000000000
