country_name,country_code,indicator_name,indicator_code,year16,Percent_Of_Tot_Debt,Tot_Debt
Tonga,TON,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,150505000,94.1509,159855000
Djibouti,DJI,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1603707000,93.9841,1706359000
Samoa,WSM,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,390070000,93.4400,417455000
Bhutan,BTN,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2179391000,92.8120,2348179000
"St. Vincent and the Grenadines",VCT,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,335806000,90.7272,370127000
Mauritania,MRT,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,3466386000,90.4243,3833466000
"Sao Tome and Principe",STP,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,223854000,90.2724,247976000
Mali,MLI,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,3417519000,90.2209,3787945000
Eritrea,ERI,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,718470000,90.2145,796402000
"Burkina Faso",BFA,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2537963000,89.8432,2824879000
Haiti,HTI,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1934953000,89.6604,2158090000
"Yemen, Rep.",YEM,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,6322902000,89.4856,7065832000
Niger,NER,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2881830000,89.1362,3233062000
Lesotho,LSO,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,771685000,87.3613,883326000
Benin,BEN,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2025492000,87.1791,2323370000
Nepal,NPL,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,3623161000,85.2254,4251270000
Comoros,COM,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,131819000,82.4291,159918000
"Cabo Verde",CPV,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1259562000,81.8222,1539390000
Malawi,MWI,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1506568000,81.5878,1846561000
Afghanistan,AFG,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1921469000,79.9324,2403867000
"Gambia, The",GMB,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,402719000,79.6757,505448000
"Syrian Arab Republic",SYR,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,3497893000,79.6055,4394035000
