country_name,country_code,indicator_name,indicator_code,year16,Percent_Of_Tot_Debt,Tot_Debt
"Papua New Guinea",PNG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,17008325000,86.3872,19688489000
Kazakhstan,KAZ,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,135000000000,82.3171,164000000000
Mongolia,MNG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,16761425000,70.0953,23912336000
Mauritius,MUS,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,11590557000,64.5639,17952076000
Peru,PER,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,41186636000,59.2587,69503047000
Brazil,BRA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,308000000000,56.7219,543000000000
Nigeria,NGA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,17487060000,56.1356,31151475000
Guatemala,GTM,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,11910321000,56.0908,21234013000
"Russian Federation",RUS,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,291000000000,55.4286,525000000000
"Europe & Central Asia",ECA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,804000000000,52.8947,1520000000000
Romania,ROU,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,48970978000,51.0708,95888350000
Uzbekistan,UZB,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,8148700000,50.0457,16282526000
Turkey,TUR,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,199000000000,49.0148,406000000000
Grenada,GRD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,635000000,48.9719,1296661000
Bulgaria,BGR,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,19407870000,48.9395,39656828000
"Bosnia and Herzegovina",BIH,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,5266461000,48.0617,10957714000
Kosovo,XKX,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,1032000000,47.9486,2152306000
Nicaragua,NIC,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,5158081000,46.9305,10990903000
"Kyrgyz Republic",KGZ,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,3658959000,46.4552,7876314000
Georgia,GEO,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,7415158000,46.3830,15986792000
Moldova,MDA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,3058269000,46.3747,6594690000
"Costa Rica",CRI,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,11743692000,45.9329,25567060000
India,IND,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,200000000000,43.8596,456000000000
"Lao PDR",LAO,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,6079901000,42.9376,14159855000
Ukraine,UKR,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,48652181000,41.2307,118000000000
Paraguay,PRY,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,6678526000,40.9137,16323430000
Tajikistan,TJK,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,1981119000,40.6245,4876658000
"Solomon Islands",SLB,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,95312000,39.6700,240262000
"Upper middle income",UMC,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,1970000000000,39.5582,4980000000000
Serbia,SRB,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,11595447000,39.1746,29599394000
Armenia,ARM,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,3884493000,39.0280,9953091000
"Latin America & Caribbean",LAC,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,654000000000,37.5862,1740000000000
"Middle income",MIC,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2520000000000,37.2781,6760000000000
"Low & middle income",LMY,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2530000000000,36.7733,6880000000000
"Macedonia, FYR",MKD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2710175000,36.7095,7382761000
Philippines,PHL,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,28271790000,36.5650,77319196000
Thailand,THA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,44210820000,36.5379,121000000000
"Venezuela, RB",VEN,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,40193311000,35.5693,113000000000
"South Africa",ZAF,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,51654177000,35.3796,146000000000
"South Asia",SAS,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,219000000000,34.9282,627000000000
Uganda,UGA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,3325390000,33.4311,9946994000
"East Asia & Pacific ",EAP,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,745000000000,32.2511,2310000000000
China,CHN,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,460000000000,32.1678,1430000000000
Panama,PAN,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,28660102000,32.0253,89492146000
"El Salvador",SLV,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,4783899000,31.0141,15424892000
"Lower middle income",LMC,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,544000000000,30.7345,1770000000000
Colombia,COL,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,36824999000,30.6875,120000000000
Albania,ALB,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2585190000,30.6406,8437141000
Indonesia,IDN,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,94650113000,29.9526,316000000000
Bolivia,BOL,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,3288512000,29.8540,11015313000
Vietnam,VNM,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,24483558000,28.1574,86952492000
"Dominican Republic",DOM,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,7772417000,27.7280,28030898000
