country_code,year16
AFG,1921469000
AGO,34814732000
ALB,6157500000
ARG,140000000000
ARM,8353704000
AZE,12417160000
BDI,438866000
BEN,2074408000
BFA,2538824000
BGD,31742733000
BGR,30226286000
BIH,9500822000
BLR,26397908000
BLZ,1314267000
BOL,10319667000
BRA,482000000000
BTN,2339128000
BWA,1654226000
CAF,414071000
CHN,801000000000
CIV,9485066000
CMR,6687262000
COD,3855296000
COG,3518871000
COL,108000000000
COM,131819000
CPV,1525564000
CRI,22797625000
DJI,1607900000
DMA,264084000
DOM,24976264000
DZA,1985910000
EAP,1280000000000
ECA,1280000000000
ECU,32402502000
EGY,51412618000
ERI,748412000
ETH,21802565000
FJI,679069000
GAB,4614496000
GEO,13321897000
GHA,17235459000
GIN,908640000
GMB,407001000
GNB,219907000
GRD,1205034000
GTM,20057922000
GUY,1283481000
HND,6976261000
HTI,1941170000
IDN,272000000000
IDX,257000000000
IND,367000000000
IRN,2794000000
JAM,11358727000
JOR,14872082000
KAZ,156000000000
KEN,18996548000
KGZ,7222818000
KHM,8390399000
LAC,1450000000000
LAO,13381397000
LBN,27921654000
LBR,592177000
LCA,437551000
LDC,230000000000
LIC,103000000000
LKA,38106302000
LMC,1450000000000
LMY,5050000000000
LSO,774881000
MAR,36587237000
MDA,4270036000
MDG,2428944000
MDV,1014915000
MEX,365000000000
MIC,4950000000000
MKD,6183009000
MLI,3417890000
MMR,5361068000
MNA,164000000000
MNE,2504838000
MNG,21267674000
MOZ,9180300000
MRT,3466386000
MUS,13219010000
MWI,1506568000
MYS,116000000000
NER,2881830000
NGA,28898997000
NIC,9356301000
NPL,3706344000
PAK,58250875000
PAN,45930298000
PER,60918594000
PHL,61666512000
PNG,18927344000
PRY,11499458000
ROU,81692908000
RUS,472000000000
RWA,2353295000
SAS,504000000000
SDN,15515294000
SEN,6338065000
SLB,181968000
SLE,952843000
SLV,12640414000
SOM,1644529000
SRB,27869654000
SSA,378000000000
STP,223854000
SWZ,339084000
SYR,3497893000
TCD,1454528000
TGO,940328000
THA,67402750000
TJK,3843311000
TKM,264049000
TON,150595000
TUN,19429435000
TUR,306000000000
TZA,13921490000
UGA,9212432000
UKR,84760041000
UMC,3500000000000
UZB,15582946000
VCT,343119000
VEN,80779674000
VNM,72521659000
VUT,137387000
WSM,390070000
XKX,1336748000
YEM,6322902000
ZAF,114000000000
ZMB,7723941000
ZWE,5457211000
