country_name,country_code,indicator_name,indicator_code,year16,,,,,,
Afghanistan,AFG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1921469000,,,,,,
Afghanistan,AFG,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,1921469000,,,,,,
Afghanistan,AFG,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1921469000,,,,,,
Albania,ALB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,6157500000,,,,,,
Algeria,DZA,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,1985910000,,,,,,
Angola,AGO,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,34814732000,,,,,,
Angola,AGO,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,34814732000,,,,,,
Argentina,ARG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.4E+11,,,,,,
Armenia,ARM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,8353704000,,,,,,
Azerbaijan,AZE,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,12417160000,,,,,,
Bangladesh,BGD,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,31742733000,,,,,,
Belarus,BLR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,26397908000,,,,,,
Belize,BLZ,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1314267000,,,,,,
Benin,BEN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2074408000,,,,,,
Benin,BEN,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2074408000,,,,,,
Bhutan,BTN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2339128000,,,,,,
Bolivia,BOL,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,10319667000,,,,,,
Bosnia and Herzegovina,BIH,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,9500822000,,,,,,
Botswana,BWA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1654226000,,,,,,
Botswana,BWA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,1654226000,,,,,,
Brazil,BRA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,4.82E+11,,,,,,
Bulgaria,BGR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,30226286000,,,,,,
Burkina Faso,BFA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2538824000,,,,,,
Burkina Faso,BFA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2538824000,,,,,,
